Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
1,A,2,0.5,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0
2,A'LYCIA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
3,AAC,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,AACHA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
5,AACHACH,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,AALIYAH,14,0.285714285714286,0.357142857142857,0.214285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0,1,0,0
7,AALYA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
8,AALYAH,2,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
9,AANASSE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
10,AANI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
11,AANOR,2,0.0,0.0,0.5,0.5,0.0,0,0,0,0,1,0,0
12,AARAB,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
13,AARICIA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
14,AARON,330,0.266666666666667,0.287878787878788,0.272727272727273,0.133333333333333,0.0393939393939394,0,0,0,1,0,0,0
15,AARONE,2,0.0,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0
16,AARÖN,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
17,AASHNA,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
18,AAYA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
19,AAZADA,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20,ABADIE,2,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
21,ABAKAR,4,0.25,0.0,0.75,0.0,0.0,0,0,0,0,1,1,0
22,ABALAIN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
23,ABARNA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0
24,ABAS,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
25,ABATOUTA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
26,ABBA,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
27,ABBA-BOULBAIR,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
28,ABBAS,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
29,ABBASSI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
30,ABBES,2,0.0,0.5,0.0,0.0,0.5,0,0,0,0,1,0,0
31,ABBI,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
32,ABBIE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
33,ABBIGAËL,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
34,ABBIGAËLLE,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
35,ABBO,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
36,ABBY,27,0.0740740740740741,0.333333333333333,0.444444444444444,0.111111111111111,0.037037037037037,0,0,0,1,0,0,0
37,ABBY-GAELLE,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
38,ABBY-GAËLLE,11,0.0909090909090909,0.363636363636364,0.272727272727273,0.272727272727273,0.0,0,0,1,0,0,0,0
39,ABBYE,2,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
40,ABBYGAEL,1,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
41,ABBYGAELLE,5,0.0,0.0,0.8,0.2,0.0,0,0,1,0,0,0,0
42,ABBYGAËL,5,0.0,0.4,0.4,0.2,0.0,0,0,1,0,0,0,0
43,ABBYGAËLLE,17,0.235294117647059,0.235294117647059,0.176470588235294,0.294117647058824,0.0588235294117647,0,0,1,0,0,0,0
44,ABBYGAÏL,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
45,ABD'ALLAH,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
46,ABD-ALLAH,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
47,ABDA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
48,ABDALHADI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
49,ABDALLA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
50,ABDALLAH,19,0.473684210526316,0.315789473684211,0.0,0.210526315789474,0.0,0,0,0,0,1,0,0
51,ABDALLAOUI,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
52,ABDAOUI,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
53,ABDARRAHMAN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
54,ABDEL,10,0.4,0.2,0.4,0.0,0.0,0,0,0,0,1,0,0
55,ABDEL-AZZIZ,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
56,ABDEL-DJALIL,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
57,ABDEL-HAKIM,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
58,ABDEL-HAMID,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
59,ABDEL-JALIL,3,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
60,ABDEL-KADER,3,0.666666666666667,0.333333333333333,0.0,0.0,0.0,0,0,0,0,1,0,0
61,ABDEL-KARIM,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
62,ABDEL-MALIK,3,0.0,0.0,0.666666666666667,0.333333333333333,0.0,0,0,0,0,1,0,0
63,ABDEL-MATYN,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
64,ABDEL-SAMAD,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
65,ABDEL-WAHID,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
66,ABDELALI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
67,ABDELATIF,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
68,ABDELAZIZ,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
69,ABDELBAST,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
70,ABDELDJALIL,3,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
71,ABDELGHAFFAR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
72,ABDELHADI,5,0.4,0.4,0.2,0.0,0.0,0,0,0,0,1,0,0
73,ABDELHAKIM,3,0.0,0.666666666666667,0.333333333333333,0.0,0.0,0,0,0,0,1,0,0
74,ABDELHAMID,3,0.333333333333333,0.333333333333333,0.333333333333333,0.0,0.0,0,0,0,0,1,0,0
75,ABDELHEDI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
76,ABDELILAH,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
77,ABDELILLAH,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,1,0,0
78,ABDELJABBAR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
79,ABDELJALIL,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
80,ABDELKADER,7,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143,0.0,0,0,0,0,1,0,0
81,ABDELKARIM,3,0.0,0.0,0.333333333333333,0.666666666666667,0.0,0,0,0,0,1,0,0
82,ABDELKRIM,3,0.0,0.0,0.333333333333333,0.666666666666667,0.0,0,0,0,0,1,0,0
83,ABDELLAH,11,0.0909090909090909,0.272727272727273,0.545454545454545,0.0909090909090909,0.0,0,0,0,0,1,0,0
84,ABDELLAH-HAKIM,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
85,ABDELLATIF,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
86,ABDELLILAH,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
87,ABDELMAALIK,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
88,ABDELMADJID,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
89,ABDELMAJID,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
90,ABDELMALEK,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
91,ABDELMALIK,7,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0,0,1,0,0
92,ABDELMATINE,2,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
93,ABDELMOUJOUD,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
94,ABDELNOUR,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
95,ABDELOUHAB,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
96,ABDELRAHMANE,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
97,ABDELSALEM,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
98,ABDELSAMAD,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
99,ABDELSAMED,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
100,ABDELWAHID,2,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
101,ABDENBAOUI,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
102,ABDENNOUR,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
103,ABDENOUR,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
104,ABDERAHIM,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
105,ABDERAHMANE,5,0.2,0.2,0.4,0.0,0.2,0,0,0,0,1,0,0
106,ABDERAOUF,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
107,ABDERHAMAN,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
108,ABDERRAHIM,5,0.8,0.0,0.0,0.2,0.0,0,0,0,0,1,0,0
109,ABDERRAHMAN,5,0.2,0.0,0.4,0.4,0.0,0,0,0,0,1,0,0
110,ABDERRAHMANE,14,0.428571428571429,0.428571428571429,0.142857142857143,0.0,0.0,0,0,0,0,1,0,0
111,ABDESSAMAD,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
112,ABDESSEMEUD,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
113,ABDHERAMANE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
114,ABDI,4,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
115,ABDIAS,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
116,ABDILLAH,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
117,ABDNOUR,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
118,ABDOLLAH,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
119,ABDOU,9,0.222222222222222,0.444444444444444,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,1,1,0
120,ABDOUL,5,0.6,0.2,0.2,0.0,0.0,0,0,0,0,1,1,0
121,ABDOUL-KERIM,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
122,ABDOULAYE,10,0.7,0.2,0.1,0.0,0.0,0,0,0,0,1,1,0
123,ABDOULLA,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0
124,ABDOULLAH,6,0.0,0.166666666666667,0.5,0.333333333333333,0.0,0,0,0,0,1,0,0
125,ABDOUMALIK,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
126,ABDOURRAHMANE,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
127,ABDRAHMAN,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
128,ABDRAMANE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,1,0
129,ABDUL,6,0.666666666666667,0.166666666666667,0.0,0.0,0.166666666666667,0,0,0,0,1,0,0
130,ABDUL-BAKI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
131,ABDUL-KARIM,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
132,ABDUL-MALIK,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
133,ABDUL-RAHIM,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
134,ABDUL-RAHMÂN,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
135,ABDUL-SAMET,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
136,ABDULKAREM,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
137,ABDULKARIM,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
138,ABDULLAH,5,0.4,0.4,0.2,0.0,0.0,0,0,0,0,1,0,0
139,ABDULLEH,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
140,ABDULQADIR,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
141,ABDULRAHMAN,3,0.0,0.666666666666667,0.333333333333333,0.0,0.0,0,0,0,0,1,0,0
142,ABDÉRÉMANI,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
143,ABED,4,0.5,0.25,0.25,0.0,0.0,0,0,0,0,1,0,0
144,ABEEB-ADISA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
145,ABEELE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
146,ABEL,66,0.0454545454545455,0.181818181818182,0.242424242424242,0.287878787878788,0.242424242424242,1,0,0,0,0,0,0
147,ABELHO,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
148,ABELLA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0
149,ABELS,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
150,ABESSRE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
151,ABFI,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
152,ABHAY,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
153,ABI-YAËL,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
154,ABICHA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
155,ABID,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
156,ABIGAEL,14,0.214285714285714,0.142857142857143,0.142857142857143,0.357142857142857,0.142857142857143,0,0,0,1,0,0,0
157,ABIGAELE,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
158,ABIGAELL,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
159,ABIGAELLE,4,0.5,0.0,0.5,0.0,0.0,0,0,0,1,0,0,0
160,ABIGAIL,20,0.1,0.1,0.25,0.3,0.25,0,0,0,1,0,0,0
161,ABIGAYL,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
162,ABIGAËL,30,0.0666666666666667,0.266666666666667,0.233333333333333,0.2,0.233333333333333,0,0,0,1,0,0,0
163,ABIGAËLLE,23,0.0434782608695652,0.217391304347826,0.304347826086957,0.260869565217391,0.173913043478261,0,0,1,0,0,0,0
164,ABIGAÏL,10,0.0,0.1,0.5,0.3,0.1,0,0,0,1,0,0,0
165,ABIGEL,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
166,ABIGÄIL,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
167,ABILAIKHAN,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
168,ABINAIA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
169,ABINESH,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
170,ABIR,3,0.333333333333333,0.0,0.333333333333333,0.0,0.333333333333333,0,0,0,0,1,0,0
171,ABIRAMI,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
172,ABIRE,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
173,ABISCHAG,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
174,ABLA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,0
175,ABOGHE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
176,ABOMO,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
177,ABONGUI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
178,ABOU,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0,1,0,0
179,ABOU-SOFIANE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
180,ABOUBACAR,4,0.0,0.75,0.25,0.0,0.0,0,0,0,0,1,1,0
181,ABOUBACKRY,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
182,ABOUBAKAR,4,0.25,0.25,0.5,0.0,0.0,0,0,0,0,1,1,0
183,ABOUBAKR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
184,ABOUBAKRY,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
185,ABOUDIEYEDI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
186,ABOUDOU,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0
187,ABOUDRAMANE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
188,ABOUDRAR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
189,ABOUEM,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
190,ABOUNOUFA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
191,ABRAAR,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
192,ABRAHAM,2,0.5,0.5,0.0,0.0,0.0,1,0,0,0,0,0,0
193,ABRAMOWICZ,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
194,ABRANTES,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
195,ABRAR,2,0.5,0.0,0.0,0.0,0.5,0,0,0,0,1,0,0
196,ABREU,2,0.5,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0
197,ABRIELLE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
198,ABRIL,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
199,ABRMA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
200,ABSA,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
201,ABSALON,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
202,ABSATOU,2,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0,1,0
203,ABUKAR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
204,ABY,7,0.285714285714286,0.571428571428571,0.0,0.0,0.142857142857143,0,0,1,0,0,0,0
205,ABY-GAËLLE,2,0.0,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0
206,ABYGAEL,2,0.0,0.5,0.5,0.0,0.0,0,0,0,1,0,0,0
207,ABYGAELLE,7,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143,0,0,1,0,0,0,0
208,ABYGAIL,2,0.0,0.0,0.5,0.0,0.5,0,0,0,1,0,0,0
209,ABYGAËL,11,0.181818181818182,0.272727272727273,0.363636363636364,0.181818181818182,0.0,0,0,1,0,0,0,0
210,ABYGAËLLE,29,0.241379310344828,0.172413793103448,0.413793103448276,0.0689655172413793,0.103448275862069,0,0,1,0,0,0,0
211,ABYGAÏL,2,0.0,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0
212,ABYSSA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
213,ABÉLARD,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
214,ABÉLIA,2,0.0,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0
215,ABÉLINE,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
216,ABÛ-BAKR,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
217,ACACIA,2,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
218,ACCARDO,2,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
219,ACELYA,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
220,ACHAD,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
221,ACHARD,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
222,ACHCHAK,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
223,ACHEAMPONG,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
224,ACHERAF,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
225,ACHILE,7,0.285714285714286,0.285714285714286,0.428571428571429,0.0,0.0,1,0,0,0,0,0,0
226,ACHILLE,115,0.121739130434783,0.104347826086957,0.269565217391304,0.330434782608696,0.173913043478261,1,0,0,0,0,0,0
227,ACHILLES,1,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
228,ACHKIF,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
229,ACHOUR,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
230,ACHRAF,9,0.333333333333333,0.222222222222222,0.333333333333333,0.0,0.111111111111111,0,0,0,0,1,0,0
231,ACHTA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
232,ACIANA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
233,ACIL,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
234,ACQUARONE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
235,ACYL,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0
236,ADA,2,0.0,0.5,0.5,0.0,0.0,0,0,0,1,1,1,0
237,ADALAÏS,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
238,ADALIA,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
239,ADAM,565,0.171681415929204,0.260176991150442,0.269026548672566,0.192920353982301,0.106194690265487,1,0,0,0,1,0,0
240,ADAM-KAMEL,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
241,ADAM-WADIAE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
242,ADAMA,10,0.4,0.1,0.3,0.1,0.1,0,0,0,0,1,1,0
243,ADAME,14,0.357142857142857,0.142857142857143,0.428571428571429,0.0714285714285714,0.0,0,0,0,0,1,0,0
244,ADAMISLAM,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
245,ADAMO,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0
246,ADAMS,3,0.333333333333333,0.333333333333333,0.0,0.333333333333333,0.0,0,0,1,0,0,0,0
247,ADAN,13,0.230769230769231,0.0769230769230769,0.307692307692308,0.0769230769230769,0.307692307692308,0,0,1,0,1,0,0
248,ADAO,2,0.5,0.5,0.0,0.0,0.0,0,0,0,1,0,0,0
249,ADAYNA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
250,ADDA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,1,0
251,ADDE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
252,ADDISON,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
253,ADDYSON,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
254,ADEL,29,0.172413793103448,0.206896551724138,0.379310344827586,0.206896551724138,0.0344827586206897,0,0,0,0,1,0,0
255,ADEL-SAPHIR,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
256,ADELA,4,0.25,0.0,0.25,0.5,0.0,0,0,0,1,0,0,0
257,ADELAIDE,4,0.25,0.25,0.0,0.25,0.25,1,0,0,0,0,0,0
258,ADELAIS,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0
259,ADELAJDA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
260,ADELAÏDE,2,0.0,0.0,0.5,0.5,0.0,1,0,0,0,0,0,0
261,ADELE,26,0.0,0.153846153846154,0.230769230769231,0.5,0.115384615384615,1,0,0,0,0,0,0
262,ADELEEN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
263,ADELER,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
264,ADELIA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
265,ADELIE,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0
266,ADELIN,3,0.0,0.333333333333333,0.0,0.666666666666667,0.0,1,0,0,0,0,0,0
267,ADELINA,3,0.0,0.666666666666667,0.0,0.333333333333333,0.0,0,0,0,1,0,0,0
268,ADELINE,27,0.185185185185185,0.185185185185185,0.259259259259259,0.111111111111111,0.259259259259259,1,0,0,0,0,0,0
269,ADELINO,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0
270,ADELYN,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
271,ADELYNE,2,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
272,ADELÏA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
273,ADEM,59,0.322033898305085,0.271186440677966,0.322033898305085,0.0508474576271186,0.0338983050847458,0,0,0,0,1,0,0
274,ADEN,3,0.0,0.0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,1,0,0
275,ADEÏ,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
276,ADHAM,4,0.0,0.25,0.5,0.25,0.0,0,0,0,0,1,0,0
277,ADHAN,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0
278,ADHAVAN,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
279,ADHÉMAR,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
280,ADI,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
281,ADIA,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0
282,ADIB,2,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0
283,ADIL,9,0.111111111111111,0.666666666666667,0.0,0.111111111111111,0.111111111111111,0,0,0,0,1,0,0
284,ADINA,4,0.0,0.0,0.25,0.75,0.0,0,0,0,0,1,0,0
285,ADINGA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
286,ADINOLFI,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
287,ADISON,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
288,ADISSOU,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
