Unnamed: 0,firstname,count,taux_sm,taux_ab,taux_b,taux_tb,taux_fel,Traditionnel,Moderne,Inventé,Européen,Musulman,Africain,Asiatique
15336,MAELSA,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15337,MAELWENN,7,0.0,0.142857142857143,0.714285714285714,0.142857142857143,0.0,0,0,1,0,0,0,0
15338,MAELY,22,0.272727272727273,0.0,0.363636363636364,0.318181818181818,0.0454545454545455,0,0,1,0,0,0,0
15339,MAELYA,4,0.0,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0
15340,MAELYAH,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0
15341,MAELYN,2,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15342,MAELYNE,13,0.230769230769231,0.230769230769231,0.384615384615385,0.0769230769230769,0.0769230769230769,0,0,1,0,0,0,0
15343,MAELYNN,2,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15344,MAELYS,192,0.151041666666667,0.291666666666667,0.260416666666667,0.192708333333333,0.104166666666667,0,0,1,0,0,0,0
15345,MAELYSE,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15346,MAELYSS,6,0.333333333333333,0.166666666666667,0.0,0.333333333333333,0.166666666666667,0,0,1,0,0,0,0
15347,MAELYSSE,5,0.2,0.4,0.4,0.0,0.0,0,0,1,0,0,0,0
15348,MAENA,10,0.5,0.2,0.0,0.3,0.0,0,0,1,0,0,0,0
15349,MAENDRA,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15350,MAERANE,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
15351,MAERKERKE,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15352,MAES,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
15353,MAESSA,3,0.0,0.0,0.666666666666667,0.333333333333333,0.0,0,0,0,0,1,0,0
15354,MAESSANE,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
15355,MAESTRA,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
15356,MAETYS,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15357,MAEVA,97,0.195876288659794,0.144329896907216,0.34020618556701,0.237113402061856,0.0824742268041237,0,0,1,0,0,0,0
15358,MAEVAN,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0
15359,MAEVE,3,0.333333333333333,0.333333333333333,0.333333333333333,0.0,0.0,0,0,0,1,0,0,0
15360,MAEWEN,2,0.0,0.5,0.0,0.0,0.5,0,0,1,0,0,0,0
15361,MAEWENN,15,0.0,0.266666666666667,0.333333333333333,0.133333333333333,0.266666666666667,0,0,1,0,0,0,0
15362,MAEWENNE,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15363,MAEYVA,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
15364,MAFFRE,2,0.0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0
15365,MAFU,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
15366,MAFUCCI,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
